"F.D.A. Clears Johnson & Johnson’s Shot, the Third Vaccine for U.S.",The authorization of a third Covid-19 vaccine will bring millions more doses within days. But health officials worry that some people will see the vaccine as the inferior choice.,By Noah Weiland and Sharon LaFraniere,The New York Times,2021-02-27T23:12:09+0000,https://www.nytimes.com/2021/02/27/health/covid-vaccine-johnson-and-johnson.html
New Findings on 2 Ways Children Become Seriously Ill From the Coronavirus,A large study found that young people hospitalized with acute Covid-19 have symptoms and characteristics that differ from those with a Covid-linked inflammatory syndrome.,By Pam Belluck,The New York Times,2021-02-24T21:32:35+0000,https://www.nytimes.com/2021/02/24/health/covid-kids-severe-inflammatory-syndrome.html
"On the Post-Pandemic Horizon, Could That Be … a Boom?","Signs of economic life are picking up, and mounds of cash are waiting to be spent as the virus loosens its grip.",By Ben Casselman,The New York Times,2021-02-21T20:00:08+0000,https://www.nytimes.com/2021/02/21/business/economy/pandemic-economic-boom.html
2.5 Million Women Left the Work Force During the Pandemic. Harris Sees a ‘National Emergency.’,"“In one year,” Vice President Kamala Harris said, “the pandemic has put decades of the progress we have collectively made for women workers at risk.”",By Katie Rogers,The New York Times,2021-02-18T22:50:57+0000,https://www.nytimes.com/2021/02/18/us/politics/women-pandemic-harris.html
"Covid Vaccines for Kids Are Coming, but Not for Many Months",Pfizer and Moderna are testing their vaccines on children 12 and older and hope to have results by the summer.,By Apoorva Mandavilli,The New York Times,2021-02-12T10:00:21+0000,https://www.nytimes.com/2021/02/12/health/covid-vaccines-children.html
A W.H.O. Researcher on His Trip to China Seeking Origins of the Virus,"An interview with Peter Daszak, an animal disease specialist, just after his return from an investigative research mission to Wuhan, the site of the original Covid outbreak, and surrounding areas.",By James Gorman,The New York Times,2021-02-14T10:00:11+0000,https://www.nytimes.com/2021/02/14/health/WHO-covid-daszak-china-virus.html
"Colleges Vowed a Safer Spring. Then Students, and Variants, Arrived.","Many universities instituted new testing protocols, hoping to avoid the problems of the fall. But coronavirus variants and uncooperative students have already driven outbreaks.",By Stephanie Saul and Shawn Hubler,The New York Times,2021-02-09T10:00:18+0000,https://www.nytimes.com/2021/02/09/us/colleges-covid.html
China Scores a Public Relations Win After W.H.O. Mission to Wuhan,"Experts with the global health agency endorsed critical parts of Beijing’s narrative, even some parts that independent scientists question.",By Javier C. Hernández,The New York Times,2021-02-09T11:25:58+0000,https://www.nytimes.com/2021/02/09/world/asia/wuhan-china-who-covid.html
France’s Latest Covid Measure: Letting Workers Eat at Their Desks,The coronavirus pandemic has already upended eating habits in a country where the table is a sacred space. Now it is taking its toll on a symbol of work-life balance.,By Roger Cohen,The New York Times,2021-02-07T16:26:39+0000,https://www.nytimes.com/2021/02/07/world/europe/france-desk-lunch-covid.html
Johnson & Johnson’s Vaccine Offers Strong Protection but Fuels Concern About Variants,"The vaccine’s efficacy rate dropped from 72 percent in the United States to just 57 percent in South Africa, where a highly contagious variant is driving most cases.","By Carl Zimmer, Noah Weiland and Sharon LaFraniere",The New York Times,2021-01-29T13:00:07+0000,https://www.nytimes.com/2021/01/29/health/covid-vaccine-johnson-and-johnson-variants.html
