"F.D.A. Clears Johnson & Johnson’s Shot, the Third Vaccine for U.S.",The authorization of a third Covid-19 vaccine will bring millions more doses within days. But health officials worry that some people will see the vaccine as the inferior choice.,By Noah Weiland and Sharon LaFraniere,The New York Times,2021-02-27T23:12:09+0000,https://www.nytimes.com/2021/02/27/health/covid-vaccine-johnson-and-johnson.html
New Findings on 2 Ways Children Become Seriously Ill From the Coronavirus,A large study found that young people hospitalized with acute Covid-19 have symptoms and characteristics that differ from those with a Covid-linked inflammatory syndrome.,By Pam Belluck,The New York Times,2021-02-24T21:32:35+0000,https://www.nytimes.com/2021/02/24/health/covid-kids-severe-inflammatory-syndrome.html
"On the Post-Pandemic Horizon, Could That Be … a Boom?","Signs of economic life are picking up, and mounds of cash are waiting to be spent as the virus loosens its grip.",By Ben Casselman,The New York Times,2021-02-21T20:00:08+0000,https://www.nytimes.com/2021/02/21/business/economy/pandemic-economic-boom.html
2.5 Million Women Left the Work Force During the Pandemic. Harris Sees a ‘National Emergency.’,"“In one year,” Vice President Kamala Harris said, “the pandemic has put decades of the progress we have collectively made for women workers at risk.”",By Katie Rogers,The New York Times,2021-02-18T22:50:57+0000,https://www.nytimes.com/2021/02/18/us/politics/women-pandemic-harris.html
"Covid Vaccines for Kids Are Coming, but Not for Many Months",Pfizer and Moderna are testing their vaccines on children 12 and older and hope to have results by the summer.,By Apoorva Mandavilli,The New York Times,2021-02-12T10:00:21+0000,https://www.nytimes.com/2021/02/12/health/covid-vaccines-children.html
A W.H.O. Researcher on His Trip to China Seeking Origins of the Virus,"An interview with Peter Daszak, an animal disease specialist, just after his return from an investigative research mission to Wuhan, the site of the original Covid outbreak, and surrounding areas.",By James Gorman,The New York Times,2021-02-14T10:00:11+0000,https://www.nytimes.com/2021/02/14/health/WHO-covid-daszak-china-virus.html
"Colleges Vowed a Safer Spring. Then Students, and Variants, Arrived.","Many universities instituted new testing protocols, hoping to avoid the problems of the fall. But coronavirus variants and uncooperative students have already driven outbreaks.",By Stephanie Saul and Shawn Hubler,The New York Times,2021-02-09T10:00:18+0000,https://www.nytimes.com/2021/02/09/us/colleges-covid.html
China Scores a Public Relations Win After W.H.O. Mission to Wuhan,"Experts with the global health agency endorsed critical parts of Beijing’s narrative, even some parts that independent scientists question.",By Javier C. Hernández,The New York Times,2021-02-09T11:25:58+0000,https://www.nytimes.com/2021/02/09/world/asia/wuhan-china-who-covid.html
France’s Latest Covid Measure: Letting Workers Eat at Their Desks,The coronavirus pandemic has already upended eating habits in a country where the table is a sacred space. Now it is taking its toll on a symbol of work-life balance.,By Roger Cohen,The New York Times,2021-02-07T16:26:39+0000,https://www.nytimes.com/2021/02/07/world/europe/france-desk-lunch-covid.html
Johnson & Johnson’s Vaccine Offers Strong Protection but Fuels Concern About Variants,"The vaccine’s efficacy rate dropped from 72 percent in the United States to just 57 percent in South Africa, where a highly contagious variant is driving most cases.","By Carl Zimmer, Noah Weiland and Sharon LaFraniere",The New York Times,2021-01-29T13:00:07+0000,https://www.nytimes.com/2021/01/29/health/covid-vaccine-johnson-and-johnson-variants.html
These New Yorkers Are Signing Up Their Neighbors for the Vaccine,New Yorkers living in public housing have struggled to get vaccinated. We spent time with some of them as they volunteered with a program focusing on door-to-door outreach.,By James Estrin,The New York Times,2021-02-08T14:43:09+0000,https://www.nytimes.com/interactive/2021/02/08/nyregion/covid-vaccine-public-housing.html
Virus Variant First Found in Britain Now Spreading Rapidly in U.S.,A new study bolsters the prediction by the Centers for Disease Control and Prevention that the so-called B.1.1.7 variant will dominate Covid-19 cases by March.,By Carl Zimmer,The New York Times,2021-02-07T16:01:48+0000,https://www.nytimes.com/2021/02/07/health/coronavirus-variant-us-spread.html
See Covid-19 Exposure Risk in Your County and a Guide for Daily Life Near You,"See the risk of exposure to the disease in your county, and read our county-specific guidance for common activities to help you lower your risk and protect your community.","By Eleanor Lutz, Aliza Aufrichtig, Charlie Smart, Albert Sun, Rich Harris and Gabriel Gianordoli",The New York Times,2021-01-27T04:18:34+0000,https://www.nytimes.com/interactive/2021/us/covid-risk-map.html
China Wanted to Show Off Its Vaccines. It’s Backfiring.,"Delays, inconsistent data, spotty disclosures and the country’s attacks on Western rivals have marred its ambitious effort to portray itself as a leader in global health.",By Sui-Lee Wee,The New York Times,2021-01-25T08:00:10+0000,https://www.nytimes.com/2021/01/25/business/china-covid-19-vaccine-backlash.html
Inside a Nursing Home as Vaccine Arrives: ‘I Hope Everybody Takes It’,"At a Staten Island facility that was hit hard by the coronavirus, residents and staff members lined up to get a dose of the Covid vaccine. Here’s how the day went.",By Christopher Occhicone and David Gonzalez,The New York Times,2021-01-17T10:00:18+0000,https://www.nytimes.com/2021/01/17/nyregion/covid-vaccine-nyc-nursing-home.html
Frustrations Boil at Pace of Vaccinations at Long-Term Care Facilities,The Trump administration raised hopes of a speedy process for nursing homes and assisted living facilities. Patience is wearing thin.,By Rebecca Robbins,The New York Times,2021-01-16T10:00:12+0000,https://www.nytimes.com/2021/01/16/business/covid-vaccine-nursing-homes.html
Two Members of W.H.O. Team on Trail of Virus Are Denied Entry to China,Beijing has repeatedly impeded the global inquiry into the emergence of the coronavirus. Two scientists on the team remained in Singapore after testing positive for antibodies.,By Javier C. Hernández,The New York Times,2021-01-14T04:31:49+0000,https://www.nytimes.com/2021/01/13/world/asia/china-who-wuhan-covid.html
Disappointing Chinese Vaccine Results Pose Setback for Developing World,"Brazil says CoronaVac has an efficacy rate just over 50 percent, much lower than previously announced. More than 380 million doses have already been ordered.",By Sui-Lee Wee and Ernesto Londoño,The New York Times,2021-01-13T10:24:59+0000,https://www.nytimes.com/2021/01/13/business/chinese-vaccine-brazil-sinovac.html
Jobs Recovery Goes Into Reverse as Pandemic Takes a New Toll,"U.S. employment fell by 140,000 in December as virus cases surged. Leisure and hospitality businesses were hit hard, but some industries showed growth.",By Ben Casselman,The New York Times,2021-01-08T23:14:27+0000,https://www.nytimes.com/2021/01/08/business/economy/december-2020-jobs-report.html
Early Vaccine Doubters Now Show a Willingness to Roll Up Their Sleeves,"Polls show that pervasive skepticism is melting, partly because of the high efficacy rates in trials and the images of real people getting the shot.",By Jan Hoffman,The New York Times,2020-12-26T14:08:48+0000,https://www.nytimes.com/2020/12/26/health/covid-vaccine-hesitancy.html
Australia Begins Covid-19 Vaccination Campaign,"Australia began vaccinating its population against Covid-19 on Sunday. Jane Malysiak, 84, a resident of a nursing home in Sydney, and Prime Minister Scott Morrison were among the first to receive a vaccine.",By Reuters,Reuters,2021-02-21T16:35:37+0000,https://www.nytimes.com/video/world/australia/100000007616548/australia-coronavirus-vaccinations.html
White House Announces Increase in Covid-19 Vaccine Distribution,"On Tuesday, the White House press secretary Jen Psaki announced that federal vaccine distribution would increase. Ms. Psaki also said that President Biden would visit Texas to survey a vaccine site impacted by the recent winter storm.",By Associated Press,AP,2021-02-23T20:14:26+0000,https://www.nytimes.com/video/us/politics/100000007620317/covid-vaccine-increase.html
Johnson & Johnson Begins Covid-19 Vaccine Distribution,Johnson & Johnson said it would start shipping millions of doses early this week after the Food and Drug Administration granted emergency use authorization for its vaccine on Saturday.,By The Associated Press,The New York Times,2021-03-01T17:57:38+0000,https://www.nytimes.com/video/us/100000007630214/johnson-johnson-coronavirus-vaccine.html
What to Know About California’s Covid-19 Relief,Monday: Information about who’s eligible for state pandemic aid and how to get it. Also: The Golden Globes.,By Priya Arora and Jill Cowan,The New York Times,2021-03-01T13:55:41+0000,https://www.nytimes.com/2021/03/01/us/california-covid-19-relief.html
See How Covid-19 Has Tested the Limits of Hospitals and Staff,"Throughout the past year, the long stays and close monitoring required to care for Covid-19 patients have presented an uphill battle for medical workers.","By John Keefe, Yuliya Parshina-Kottas and Sheri Fink",The New York Times,2021-02-23T10:00:02+0000,https://www.nytimes.com/interactive/2021/02/23/us/covid-hospital-icu.html
Helping People Find Covid-19 Vaccines Is Aim of C.D.C.-Backed Site,VaccineFinder.org is an ambitious but limited attempt to simplify Americans’ search for vaccines.,By Rebecca Robbins and Sheryl Gay Stolberg,The New York Times,2021-02-25T00:38:49+0000,https://www.nytimes.com/2021/02/24/business/vaccine-finder-org.html
Meet the key members of Biden’s Covid-19 response team.,Read more about the plans by top officials to move toward something resembling normalcy.,By Karen Zraick,The New York Times,2021-02-24T10:00:18+0000,https://www.nytimes.com/2021/02/24/us/bidens-covid-19-response-team.html
"New Covid-19 Infections Have Fallen to Half in Europe, W.H.O. Says",Heightened restrictions on social interaction have caused the rates of Covid-19 cases to fall in Europe. But the World Health Organization cautioned that new cases were still 10 times as high as they were last May.,By The Associated Press,The New York Times,2021-02-25T20:17:16+0000,https://www.nytimes.com/video/world/europe/100000007624444/who-coronavirus-europe.html
Watch Live: Biden Delivers Remarks on Lives Lost to Covid-19,"On Monday, President Biden honors the lives lost to Covid-19 as the United States nears 500,000 deaths, followed by a candle-lighting ceremony.",By The Associated Press,The New York Times,2021-02-22T22:30:38+0000,https://www.nytimes.com/video/us/politics/100000007617869/biden-covid-deaths.html
Should I Get a Covid-19 Vaccine When Others Need It More?,The magazine’s Ethicist columnist on what should determine eligibility for the Covid-19 vaccine and more.,By Kwame Anthony Appiah,The New York Times,2021-02-23T10:00:07+0000,https://www.nytimes.com/2021/02/23/magazine/should-i-get-a-covid-19-vaccine-when-others-need-it-more.html
A Dismal Spring Awaits Unless We Slow the Spread of Covid-19,How soon life returns to normal depends on what we do now.,"By Ezekiel J. Emanuel, Rick Bright and Céline Gounder",The New York Times,2021-02-17T10:00:15+0000,https://www.nytimes.com/2021/02/17/opinion/covid-19-precautions.html
Covid-19 Is ‘Probably Going to End My Career’,"Being a nurse was already hard. But in the pandemic, it’s become almost impossible.",By Theresa Brown,The New York Times,2021-02-25T10:00:15+0000,https://www.nytimes.com/2021/02/25/opinion/nursing-crisis-coronavirus.html
"Ohio Finds 4,000 Unreported Covid-19 Deaths","Ohio officials said on Thursday they discovered about 4,000 overlooked Covid-19 deaths that occurred over the past several months after the state’s Health Department said the deaths had not been properly merged between the internal death certificate database and the federal database.",By The Associated Press,The New York Times,2021-02-12T19:49:39+0000,https://www.nytimes.com/video/us/politics/100000007602573/mike-dewine-ohio-coronavirus-deaths.html
Trump Was Sicker Than Acknowledged With Covid-19,"When he was hospitalized with the coronavirus in October, his blood oxygen levels had plunged and officials feared he was on the verge of being placed on a ventilator.","By Noah Weiland, Maggie Haberman, Mark Mazzetti and Annie Karni",The New York Times,2021-02-11T20:50:25+0000,https://www.nytimes.com/2021/02/11/us/politics/trump-coronavirus.html
"The Biden administration buys 100,000 doses of a combination antibody treatment for high-risk Covid-19 patients.","The government will pay $210 million for the doses, which Eli Lilly will ship by the end of March.",By Rebecca Robbins,The New York Times,2021-02-26T16:50:01+0000,https://www.nytimes.com/2021/02/26/world/bamlanivimab-etesevimab-eli-lilly-monoclonal-antibodies.html
Three Men Are Accused in Scheme to Sell Covid-19 Vaccines,"Prosecutors said the men created a fake duplicate of the Moderna website to fraudulently sell doses of the vaccine, which they never had.",By Concepción de León,The New York Times,2021-02-12T22:09:48+0000,https://www.nytimes.com/2021/02/12/us/baltimore-covid-vaccine-fraud.html
Technology Executive Apologizes After Dozens of Event Attendees Contract Covid-19,"Peter Diamandis thought extensive testing could help create an “immunity bubble” for a conference in Culver City, Calif. It didn’t work. “I hope others can learn from my mistakes,” he said.",By Jacey Fortin,The New York Times,2021-02-16T22:45:32+0000,https://www.nytimes.com/2021/02/16/us/peter-diamandis-covid-ca.html
California has now lost more people to Covid-19 than any other state in the U.S.,A bleak reminder that the recent progress the state has made against the pandemic may be fragile.,By Jill Cowan,The New York Times,2021-02-25T01:33:34+0000,https://www.nytimes.com/2021/02/24/world/california-50000-covid-deaths.html
"As Brazil faces record Covid-19 deaths, a variant-fueled surge and lagging vaccinations, Bolsonaro disparages masks.","The president says that the pandemic precaution can lead to headaches, difficulty concentrating and a “decreased perception of happiness.”",By Ernesto Londoño,The New York Times,2021-02-26T15:36:22+0000,https://www.nytimes.com/2021/02/26/world/Bolsonaro-face-masks.html
"One Pfizer dose offers robust protection for those who have had Covid-19, studies find.",Two new pieces of research add strong evidence to the case for giving just a single dose of the Pfizer vaccine to people who have antibodies against the virus.,By Benjamin Mueller,The New York Times,2021-02-26T10:02:40+0000,https://www.nytimes.com/2021/02/26/world/pfizer-vaccine-protection.html
