"F.D.A. Clears Johnson & Johnson’s Shot, the Third Vaccine for U.S.",The authorization of a third Covid-19 vaccine will bring millions more doses within days. But health officials worry that some people will see the vaccine as the inferior choice.,By Noah Weiland and Sharon LaFraniere,The New York Times,2021-02-27T23:12:09+0000,https://www.nytimes.com/2021/02/27/health/covid-vaccine-johnson-and-johnson.html
New Findings on 2 Ways Children Become Seriously Ill From the Coronavirus,A large study found that young people hospitalized with acute Covid-19 have symptoms and characteristics that differ from those with a Covid-linked inflammatory syndrome.,By Pam Belluck,The New York Times,2021-02-24T21:32:35+0000,https://www.nytimes.com/2021/02/24/health/covid-kids-severe-inflammatory-syndrome.html
"A New Coronavirus Variant Is Spreading in New York, Researchers Report","The variant contains a mutation thought to help the virus dodge the immune system, scientists said.",By Apoorva Mandavilli,The New York Times,2021-02-24T23:23:13+0000,https://www.nytimes.com/2021/02/24/health/coronavirus-variant-nyc.html
"On the Post-Pandemic Horizon, Could That Be … a Boom?","Signs of economic life are picking up, and mounds of cash are waiting to be spent as the virus loosens its grip.",By Ben Casselman,The New York Times,2021-02-21T20:00:08+0000,https://www.nytimes.com/2021/02/21/business/economy/pandemic-economic-boom.html
2.5 Million Women Left the Work Force During the Pandemic. Harris Sees a ‘National Emergency.’,"“In one year,” Vice President Kamala Harris said, “the pandemic has put decades of the progress we have collectively made for women workers at risk.”",By Katie Rogers,The New York Times,2021-02-18T22:50:57+0000,https://www.nytimes.com/2021/02/18/us/politics/women-pandemic-harris.html
"Covid Vaccines for Kids Are Coming, but Not for Many Months",Pfizer and Moderna are testing their vaccines on children 12 and older and hope to have results by the summer.,By Apoorva Mandavilli,The New York Times,2021-02-12T10:00:21+0000,https://www.nytimes.com/2021/02/12/health/covid-vaccines-children.html
A W.H.O. Researcher on His Trip to China Seeking Origins of the Virus,"An interview with Peter Daszak, an animal disease specialist, just after his return from an investigative research mission to Wuhan, the site of the original Covid outbreak, and surrounding areas.",By James Gorman,The New York Times,2021-02-14T10:00:11+0000,https://www.nytimes.com/2021/02/14/health/WHO-covid-daszak-china-virus.html
"Colleges Vowed a Safer Spring. Then Students, and Variants, Arrived.","Many universities instituted new testing protocols, hoping to avoid the problems of the fall. But coronavirus variants and uncooperative students have already driven outbreaks.",By Stephanie Saul and Shawn Hubler,The New York Times,2021-02-09T10:00:18+0000,https://www.nytimes.com/2021/02/09/us/colleges-covid.html
China Scores a Public Relations Win After W.H.O. Mission to Wuhan,"Experts with the global health agency endorsed critical parts of Beijing’s narrative, even some parts that independent scientists question.",By Javier C. Hernández,The New York Times,2021-02-09T11:25:58+0000,https://www.nytimes.com/2021/02/09/world/asia/wuhan-china-who-covid.html
France’s Latest Covid Measure: Letting Workers Eat at Their Desks,The coronavirus pandemic has already upended eating habits in a country where the table is a sacred space. Now it is taking its toll on a symbol of work-life balance.,By Roger Cohen,The New York Times,2021-02-07T16:26:39+0000,https://www.nytimes.com/2021/02/07/world/europe/france-desk-lunch-covid.html
What Can Covid-19 Teach Us About the Mysteries of Smell?,The virus’s strangest symptom has opened new doors to understanding our most neglected sense.,By Brooke Jarvis,The New York Times,2021-01-28T10:00:05+0000,https://www.nytimes.com/2021/01/28/magazine/covid-smell-science.html
"Weekly Health Quiz: Diet, Weight and Covid",Test your knowledge of this week’s health news.,By Toby Bilanow,The New York Times,2021-02-26T10:00:03+0000,https://www.nytimes.com/interactive/2021/02/26/well/live/26healthquiz-02262021.html
People of Color Face the Most Pandemic Housing Insecurity,Census Bureau data show how households have struggled to stay current on rent and mortgage payments during the pandemic.,By Michael Kolomatsky,The New York Times,2021-01-28T14:00:09+0000,https://www.nytimes.com/2021/01/28/realestate/people-of-color-rent-mortgage-pandemic.html
"Germans Clamor for Covid Vaccines, but Shun AstraZeneca’s Offering",Hundreds of thousands of AstraZeneca doses are sitting unopened as many Germans reject the vaccine over fears it is “second-class” compared to the one developed by BioNTech and Pfizer.,By Melissa Eddy,The New York Times,2021-02-25T20:41:08+0000,https://www.nytimes.com/2021/02/25/world/europe/germany-coronavirus-vaccines-astrazeneca.html
Landlords Eager for Covid-Era Revamps Are Finding Hungry Investors,The growing attraction of short-term real estate loans during the pandemic is making it easier to borrow to refurbish properties.,By Matt Phillips,The New York Times,2021-02-25T16:45:31+0000,https://www.nytimes.com/2021/02/25/business/real-estate-refurbish-coronavirus.html
"When Covid Hit Nursing Homes, Part 2: ‘They’re Not Giving Us an Ending’","In the final part of our exploration of what happened in New York’s nursing homes, we ask: How did the decisions made by Gov. Andrew Cuomo contribute to the crisis?",,The New York Times,2021-02-24T11:00:07+0000,https://www.nytimes.com/2021/02/24/podcasts/the-daily/nursing-homes-coronavirus-andrew-cuomo-new-york.html
"Entering uncharted territory, the U.S. counts 500,000 Covid-related deaths.","In a single year, Covid-19 became a leading cause of death in the United States, rivaling heart disease and cancer, and has driven life expectancy down sharply. ","By Lucy Tompkins, Mitch Smith, Julie Bosman and Bryan Pietsch",The New York Times,2021-02-23T00:08:41+0000,https://www.nytimes.com/2021/02/22/us/us-covid-deaths-half-a-million.html
At-Home Coronavirus Testing Is Here,But does it work?,By Wudan Yan,The New York Times,2021-02-26T17:44:09+0000,https://www.nytimes.com/2021/02/26/well/live/at-home-covid-testing.html
Vulnerable Inmates Left in Prison as Covid Rages,"At a federal compound in Connecticut, inmates in precarious health “are like sitting ducks,” one lawyer said.",By Roni Caryn Rabin,The New York Times,2021-02-27T17:57:19+0000,https://www.nytimes.com/2021/02/27/health/coronavirus-prisons-danbury.html
Behind the Lines of Britain’s Covid War,"The government has laid out plans for gradual reopening. But in cramped intensive care wards, teeming with patients and doctors near despair, the battle is unrelenting.",By Andrew Testa and Alan Cowell,The New York Times,2021-03-01T05:07:17+0000,https://www.nytimes.com/interactive/2021/03/01/world/europe/uk-covid-pandemic.html
Johnson & Johnson’s Vaccine Offers Strong Protection but Fuels Concern About Variants,"The vaccine’s efficacy rate dropped from 72 percent in the United States to just 57 percent in South Africa, where a highly contagious variant is driving most cases.","By Carl Zimmer, Noah Weiland and Sharon LaFraniere",The New York Times,2021-01-29T13:00:07+0000,https://www.nytimes.com/2021/01/29/health/covid-vaccine-johnson-and-johnson-variants.html
These New Yorkers Are Signing Up Their Neighbors for the Vaccine,New Yorkers living in public housing have struggled to get vaccinated. We spent time with some of them as they volunteered with a program focusing on door-to-door outreach.,By James Estrin,The New York Times,2021-02-08T14:43:09+0000,https://www.nytimes.com/interactive/2021/02/08/nyregion/covid-vaccine-public-housing.html
Virus Variant First Found in Britain Now Spreading Rapidly in U.S.,A new study bolsters the prediction by the Centers for Disease Control and Prevention that the so-called B.1.1.7 variant will dominate Covid-19 cases by March.,By Carl Zimmer,The New York Times,2021-02-07T16:01:48+0000,https://www.nytimes.com/2021/02/07/health/coronavirus-variant-us-spread.html
See Covid-19 Exposure Risk in Your County and a Guide for Daily Life Near You,"See the risk of exposure to the disease in your county, and read our county-specific guidance for common activities to help you lower your risk and protect your community.","By Eleanor Lutz, Aliza Aufrichtig, Charlie Smart, Albert Sun, Rich Harris and Gabriel Gianordoli",The New York Times,2021-01-27T04:18:34+0000,https://www.nytimes.com/interactive/2021/us/covid-risk-map.html
China Wanted to Show Off Its Vaccines. It’s Backfiring.,"Delays, inconsistent data, spotty disclosures and the country’s attacks on Western rivals have marred its ambitious effort to portray itself as a leader in global health.",By Sui-Lee Wee,The New York Times,2021-01-25T08:00:10+0000,https://www.nytimes.com/2021/01/25/business/china-covid-19-vaccine-backlash.html
Inside a Nursing Home as Vaccine Arrives: ‘I Hope Everybody Takes It’,"At a Staten Island facility that was hit hard by the coronavirus, residents and staff members lined up to get a dose of the Covid vaccine. Here’s how the day went.",By Christopher Occhicone and David Gonzalez,The New York Times,2021-01-17T10:00:18+0000,https://www.nytimes.com/2021/01/17/nyregion/covid-vaccine-nyc-nursing-home.html
Frustrations Boil at Pace of Vaccinations at Long-Term Care Facilities,The Trump administration raised hopes of a speedy process for nursing homes and assisted living facilities. Patience is wearing thin.,By Rebecca Robbins,The New York Times,2021-01-16T10:00:12+0000,https://www.nytimes.com/2021/01/16/business/covid-vaccine-nursing-homes.html
Hopes for Tokyo’s Summer Olympics Darken,"Organizers postponed the Olympic Games for one year last March. Nearly a year later, prospects are getting bleaker.",By Matthew Futterman,The New York Times,2021-01-15T07:28:00+0000,https://www.nytimes.com/2021/01/15/sports/olympics/tokyo-olympics.html
Two Members of W.H.O. Team on Trail of Virus Are Denied Entry to China,Beijing has repeatedly impeded the global inquiry into the emergence of the coronavirus. Two scientists on the team remained in Singapore after testing positive for antibodies.,By Javier C. Hernández,The New York Times,2021-01-14T04:31:49+0000,https://www.nytimes.com/2021/01/13/world/asia/china-who-wuhan-covid.html
Disappointing Chinese Vaccine Results Pose Setback for Developing World,"Brazil says CoronaVac has an efficacy rate just over 50 percent, much lower than previously announced. More than 380 million doses have already been ordered.",By Sui-Lee Wee and Ernesto Londoño,The New York Times,2021-01-13T10:24:59+0000,https://www.nytimes.com/2021/01/13/business/chinese-vaccine-brazil-sinovac.html
The Newest Diplomatic Currency: Covid-19 Vaccines,"India, China, the U.A.E. and others dole out donations in countries where they seek sway. In some cases, they are sending doses despite pressing needs at home.",By Mujib Mashal and Vivian Yee,The New York Times,2021-02-11T10:00:20+0000,https://www.nytimes.com/2021/02/11/world/asia/vaccine-diplomacy-india-china.html
"New York Sues Amazon, Saying It Inadequately Protected Workers From Covid-19",The case focuses on two of the company’s facilities in New York.,By Karen Weise,The New York Times,2021-02-17T02:57:44+0000,https://www.nytimes.com/2021/02/16/technology/amazon-new-york-lawsuit-covid.html
Amazon Sues New York Attorney General to Block Covid-19 Charges,"The company said the attorney general, Letitia James, had overstepped her authority in investigating workplace safety.",By Karen Weise,The New York Times,2021-02-12T18:58:11+0000,https://www.nytimes.com/2021/02/12/technology/amazon-letitia-james-coronavirus.html
What to Know About Covid-19 and the Super Bowl,"Players from the Tampa Bay Buccaneers and the Kansas City Chiefs are being tested for the coronavirus more often, and just 25,000 fans will attend the game.",By Ken Belson,The New York Times,2021-02-02T05:01:06+0000,https://www.nytimes.com/2021/02/02/sports/football/super-bowl-2021-covid-coronavirus.html
What the World Can Learn About Covid-19 From the Seahawks and Browns,The N.F.L. rolled out a grand experiment to play a not-at-all socially distanced sport in a pandemic. The Times went behind the scenes with the Seattle Seahawks and the Cleveland Browns to understand how the science and the upheaval played out.,"By Robin Stein, Danielle Miller and Ken Belson",The New York Times,2021-02-05T10:13:06+0000,https://www.nytimes.com/video/sports/100000007560854/nfl-2020-season-covid.html
Mapping Los Angeles’s Unequal Covid-19 Surge,"Monday: A New York Times interactive map shows the uneven toll of the virus, neighborhood by neighborhood, on the nation’s most populous county.",By Jill Cowan,The New York Times,2021-02-01T13:54:08+0000,https://www.nytimes.com/2021/02/01/us/los-angeles-covid-19.html
A French Nun Turns 117 After Knocking Down Covid-19,"Sister André was expected to celebrate her victory against the virus and her birthday on Thursday with a feast, and a glass of Champagne.",By Elian Peltier,The New York Times,2021-02-10T18:04:48+0000,https://www.nytimes.com/2021/02/10/world/europe/sister-andre-covid19.html
"Because of Covid-19, Even Getting to the Australian Open Is a Battle","Players not only must be quarantined upon arrival, but then they are mostly confined to their rooms.",By Cindy Shmerler,International New York Times,2021-02-06T23:44:45+0000,https://www.nytimes.com/2021/02/06/sports/tennis/australian-open-covid-tournament.html
See How the Vaccine Rollout Is Going in Your County and State,"See where doses have gone, and who is eligible for a shot in each state.",By The New York Times,The New York Times,2020-12-17T02:50:39+0000,https://www.nytimes.com/interactive/2020/us/covid-19-vaccine-doses.html
"Lawmaker Promoted Stem Cell Therapy for Covid-19 in Fraud Scheme, U.S. Says","Tricia Derges, a Republican state representative in Missouri, falsely claimed to patients at her medical clinic that she was injecting them with stem cells, prosecutors said.",By Neil Vigdor,The New York Times,2021-02-04T01:59:46+0000,https://www.nytimes.com/2021/02/03/us/Tricia-Derges-fake-stem-cell-cure-covid.html
Three Men Are Accused in Scheme to Sell Covid-19 Vaccines,"Prosecutors said the men created a fake duplicate of the Moderna website to fraudulently sell doses of the vaccine, which they never had.",By Concepción de León,The New York Times,2021-02-12T22:09:48+0000,https://www.nytimes.com/2021/02/12/us/baltimore-covid-vaccine-fraud.html
