"F.D.A. Clears Johnson & Johnson’s Shot, the Third Vaccine for U.S.",The authorization of a third Covid-19 vaccine will bring millions more doses within days. But health officials worry that some people will see the vaccine as the inferior choice.,By Noah Weiland and Sharon LaFraniere,The New York Times,2021-02-27T23:12:09+0000,https://www.nytimes.com/2021/02/27/health/covid-vaccine-johnson-and-johnson.html
New Findings on 2 Ways Children Become Seriously Ill From the Coronavirus,A large study found that young people hospitalized with acute Covid-19 have symptoms and characteristics that differ from those with a Covid-linked inflammatory syndrome.,By Pam Belluck,The New York Times,2021-02-24T21:32:35+0000,https://www.nytimes.com/2021/02/24/health/covid-kids-severe-inflammatory-syndrome.html
"A New Coronavirus Variant Is Spreading in New York, Researchers Report","The variant contains a mutation thought to help the virus dodge the immune system, scientists said.",By Apoorva Mandavilli,The New York Times,2021-02-24T23:23:13+0000,https://www.nytimes.com/2021/02/24/health/coronavirus-variant-nyc.html
"On the Post-Pandemic Horizon, Could That Be … a Boom?","Signs of economic life are picking up, and mounds of cash are waiting to be spent as the virus loosens its grip.",By Ben Casselman,The New York Times,2021-02-21T20:00:08+0000,https://www.nytimes.com/2021/02/21/business/economy/pandemic-economic-boom.html
2.5 Million Women Left the Work Force During the Pandemic. Harris Sees a ‘National Emergency.’,"“In one year,” Vice President Kamala Harris said, “the pandemic has put decades of the progress we have collectively made for women workers at risk.”",By Katie Rogers,The New York Times,2021-02-18T22:50:57+0000,https://www.nytimes.com/2021/02/18/us/politics/women-pandemic-harris.html
"Covid Vaccines for Kids Are Coming, but Not for Many Months",Pfizer and Moderna are testing their vaccines on children 12 and older and hope to have results by the summer.,By Apoorva Mandavilli,The New York Times,2021-02-12T10:00:21+0000,https://www.nytimes.com/2021/02/12/health/covid-vaccines-children.html
A W.H.O. Researcher on His Trip to China Seeking Origins of the Virus,"An interview with Peter Daszak, an animal disease specialist, just after his return from an investigative research mission to Wuhan, the site of the original Covid outbreak, and surrounding areas.",By James Gorman,The New York Times,2021-02-14T10:00:11+0000,https://www.nytimes.com/2021/02/14/health/WHO-covid-daszak-china-virus.html
"Colleges Vowed a Safer Spring. Then Students, and Variants, Arrived.","Many universities instituted new testing protocols, hoping to avoid the problems of the fall. But coronavirus variants and uncooperative students have already driven outbreaks.",By Stephanie Saul and Shawn Hubler,The New York Times,2021-02-09T10:00:18+0000,https://www.nytimes.com/2021/02/09/us/colleges-covid.html
China Scores a Public Relations Win After W.H.O. Mission to Wuhan,"Experts with the global health agency endorsed critical parts of Beijing’s narrative, even some parts that independent scientists question.",By Javier C. Hernández,The New York Times,2021-02-09T11:25:58+0000,https://www.nytimes.com/2021/02/09/world/asia/wuhan-china-who-covid.html
France’s Latest Covid Measure: Letting Workers Eat at Their Desks,The coronavirus pandemic has already upended eating habits in a country where the table is a sacred space. Now it is taking its toll on a symbol of work-life balance.,By Roger Cohen,The New York Times,2021-02-07T16:26:39+0000,https://www.nytimes.com/2021/02/07/world/europe/france-desk-lunch-covid.html
What Can Covid-19 Teach Us About the Mysteries of Smell?,The virus’s strangest symptom has opened new doors to understanding our most neglected sense.,By Brooke Jarvis,The New York Times,2021-01-28T10:00:05+0000,https://www.nytimes.com/2021/01/28/magazine/covid-smell-science.html
People of Color Face the Most Pandemic Housing Insecurity,Census Bureau data show how households have struggled to stay current on rent and mortgage payments during the pandemic.,By Michael Kolomatsky,The New York Times,2021-01-28T14:00:09+0000,https://www.nytimes.com/2021/01/28/realestate/people-of-color-rent-mortgage-pandemic.html
"Weekly Health Quiz: Diet, Weight and Covid",Test your knowledge of this week’s health news.,By Toby Bilanow,The New York Times,2021-02-26T10:00:03+0000,https://www.nytimes.com/interactive/2021/02/26/well/live/26healthquiz-02262021.html
"Germans Clamor for Covid Vaccines, but Shun AstraZeneca’s Offering",Hundreds of thousands of AstraZeneca doses are sitting unopened as many Germans reject the vaccine over fears it is “second-class” compared to the one developed by BioNTech and Pfizer.,By Melissa Eddy,The New York Times,2021-02-25T20:41:08+0000,https://www.nytimes.com/2021/02/25/world/europe/germany-coronavirus-vaccines-astrazeneca.html
Has China Done Too Well Against Covid-19?,The country doesn’t care enough about vaccination because of a false sense of security.,By Yanzhong Huang,The New York Times,2021-01-24T16:00:12+0000,https://www.nytimes.com/2021/01/24/opinion/china-covid-vaccine.html
Landlords Eager for Covid-Era Revamps Are Finding Hungry Investors,The growing attraction of short-term real estate loans during the pandemic is making it easier to borrow to refurbish properties.,By Matt Phillips,The New York Times,2021-02-25T16:45:31+0000,https://www.nytimes.com/2021/02/25/business/real-estate-refurbish-coronavirus.html
"When Covid Hit Nursing Homes, Part 2: ‘They’re Not Giving Us an Ending’","In the final part of our exploration of what happened in New York’s nursing homes, we ask: How did the decisions made by Gov. Andrew Cuomo contribute to the crisis?",,The New York Times,2021-02-24T11:00:07+0000,https://www.nytimes.com/2021/02/24/podcasts/the-daily/nursing-homes-coronavirus-andrew-cuomo-new-york.html
"Entering uncharted territory, the U.S. counts 500,000 Covid-related deaths.","In a single year, Covid-19 became a leading cause of death in the United States, rivaling heart disease and cancer, and has driven life expectancy down sharply. ","By Lucy Tompkins, Mitch Smith, Julie Bosman and Bryan Pietsch",The New York Times,2021-02-23T00:08:41+0000,https://www.nytimes.com/2021/02/22/us/us-covid-deaths-half-a-million.html
At-Home Coronavirus Testing Is Here,But does it work?,By Wudan Yan,The New York Times,2021-02-26T17:44:09+0000,https://www.nytimes.com/2021/02/26/well/live/at-home-covid-testing.html
Vulnerable Inmates Left in Prison as Covid Rages,"At a federal compound in Connecticut, inmates in precarious health “are like sitting ducks,” one lawyer said.",By Roni Caryn Rabin,The New York Times,2021-02-27T17:57:19+0000,https://www.nytimes.com/2021/02/27/health/coronavirus-prisons-danbury.html
"On Taiwan’s New Passport, the Incredible Shrinking ‘Republic of China’","Officials said the redesign was an attempt to disassociate Taiwanese citizens from those on the mainland, who faced travel restrictions amid the pandemic.",By Livia Albeck-Ripka,The New York Times,2021-01-11T10:58:58+0000,https://www.nytimes.com/2021/01/11/world/asia/taiwan-new-passport.html
Jobs Recovery Goes Into Reverse as Pandemic Takes a New Toll,"U.S. employment fell by 140,000 in December as virus cases surged. Leisure and hospitality businesses were hit hard, but some industries showed growth.",By Ben Casselman,The New York Times,2021-01-08T23:14:27+0000,https://www.nytimes.com/2021/01/08/business/economy/december-2020-jobs-report.html
New Data Triples Russia’s Covid-19 Death Toll,"The statistics agency said 230,000 more people died through November of this year than did in 2019, a hike attributable to the virus. Russia could jump to third among countries by number of Covid deaths.",By Andrew Higgins,The New York Times,2020-12-29T15:06:36+0000,https://www.nytimes.com/2020/12/29/world/europe/russia-coronavirus-death-toll.html
Early Vaccine Doubters Now Show a Willingness to Roll Up Their Sleeves,"Polls show that pervasive skepticism is melting, partly because of the high efficacy rates in trials and the images of real people getting the shot.",By Jan Hoffman,The New York Times,2020-12-26T14:08:48+0000,https://www.nytimes.com/2020/12/26/health/covid-vaccine-hesitancy.html
Australia Begins Covid-19 Vaccination Campaign,"Australia began vaccinating its population against Covid-19 on Sunday. Jane Malysiak, 84, a resident of a nursing home in Sydney, and Prime Minister Scott Morrison were among the first to receive a vaccine.",By Reuters,Reuters,2021-02-21T16:35:37+0000,https://www.nytimes.com/video/world/australia/100000007616548/australia-coronavirus-vaccinations.html
Johnson & Johnson Begins Covid-19 Vaccine Distribution,Johnson & Johnson said it would start shipping millions of doses early this week after the Food and Drug Administration granted emergency use authorization for its vaccine on Saturday.,By The Associated Press,The New York Times,2021-03-01T17:57:38+0000,https://www.nytimes.com/video/us/100000007630214/johnson-johnson-coronavirus-vaccine.html
White House Announces Increase in Covid-19 Vaccine Distribution,"On Tuesday, the White House press secretary Jen Psaki announced that federal vaccine distribution would increase. Ms. Psaki also said that President Biden would visit Texas to survey a vaccine site impacted by the recent winter storm.",By Associated Press,AP,2021-02-23T20:14:26+0000,https://www.nytimes.com/video/us/politics/100000007620317/covid-vaccine-increase.html
What to Know About California’s Covid-19 Relief,Monday: Information about who’s eligible for state pandemic aid and how to get it. Also: The Golden Globes.,By Priya Arora and Jill Cowan,The New York Times,2021-03-01T13:55:41+0000,https://www.nytimes.com/2021/03/01/us/california-covid-19-relief.html
See How Covid-19 Has Tested the Limits of Hospitals and Staff,"Throughout the past year, the long stays and close monitoring required to care for Covid-19 patients have presented an uphill battle for medical workers.","By John Keefe, Yuliya Parshina-Kottas and Sheri Fink",The New York Times,2021-02-23T10:00:02+0000,https://www.nytimes.com/interactive/2021/02/23/us/covid-hospital-icu.html
Helping People Find Covid-19 Vaccines Is Aim of C.D.C.-Backed Site,VaccineFinder.org is an ambitious but limited attempt to simplify Americans’ search for vaccines.,By Rebecca Robbins and Sheryl Gay Stolberg,The New York Times,2021-02-25T00:38:49+0000,https://www.nytimes.com/2021/02/24/business/vaccine-finder-org.html
Meet the key members of Biden’s Covid-19 response team.,Read more about the plans by top officials to move toward something resembling normalcy.,By Karen Zraick,The New York Times,2021-02-24T10:00:18+0000,https://www.nytimes.com/2021/02/24/us/bidens-covid-19-response-team.html
Watch Live: Biden Delivers Remarks on Lives Lost to Covid-19,"On Monday, President Biden honors the lives lost to Covid-19 as the United States nears 500,000 deaths, followed by a candle-lighting ceremony.",By The Associated Press,The New York Times,2021-02-22T22:30:38+0000,https://www.nytimes.com/video/us/politics/100000007617869/biden-covid-deaths.html
"New Covid-19 Infections Have Fallen to Half in Europe, W.H.O. Says",Heightened restrictions on social interaction have caused the rates of Covid-19 cases to fall in Europe. But the World Health Organization cautioned that new cases were still 10 times as high as they were last May.,By The Associated Press,The New York Times,2021-02-25T20:17:16+0000,https://www.nytimes.com/video/world/europe/100000007624444/who-coronavirus-europe.html
Should I Get a Covid-19 Vaccine When Others Need It More?,The magazine’s Ethicist columnist on what should determine eligibility for the Covid-19 vaccine and more.,By Kwame Anthony Appiah,The New York Times,2021-02-23T10:00:07+0000,https://www.nytimes.com/2021/02/23/magazine/should-i-get-a-covid-19-vaccine-when-others-need-it-more.html
A Dismal Spring Awaits Unless We Slow the Spread of Covid-19,How soon life returns to normal depends on what we do now.,"By Ezekiel J. Emanuel, Rick Bright and Céline Gounder",The New York Times,2021-02-17T10:00:15+0000,https://www.nytimes.com/2021/02/17/opinion/covid-19-precautions.html
Covid-19 Is ‘Probably Going to End My Career’,"Being a nurse was already hard. But in the pandemic, it’s become almost impossible.",By Theresa Brown,The New York Times,2021-02-25T10:00:15+0000,https://www.nytimes.com/2021/02/25/opinion/nursing-crisis-coronavirus.html
"Ohio Finds 4,000 Unreported Covid-19 Deaths","Ohio officials said on Thursday they discovered about 4,000 overlooked Covid-19 deaths that occurred over the past several months after the state’s Health Department said the deaths had not been properly merged between the internal death certificate database and the federal database.",By The Associated Press,The New York Times,2021-02-12T19:49:39+0000,https://www.nytimes.com/video/us/politics/100000007602573/mike-dewine-ohio-coronavirus-deaths.html
Trump Was Sicker Than Acknowledged With Covid-19,"When he was hospitalized with the coronavirus in October, his blood oxygen levels had plunged and officials feared he was on the verge of being placed on a ventilator.","By Noah Weiland, Maggie Haberman, Mark Mazzetti and Annie Karni",The New York Times,2021-02-11T20:50:25+0000,https://www.nytimes.com/2021/02/11/us/politics/trump-coronavirus.html
"The Biden administration buys 100,000 doses of a combination antibody treatment for high-risk Covid-19 patients.","The government will pay $210 million for the doses, which Eli Lilly will ship by the end of March.",By Rebecca Robbins,The New York Times,2021-02-26T16:50:01+0000,https://www.nytimes.com/2021/02/26/world/bamlanivimab-etesevimab-eli-lilly-monoclonal-antibodies.html
California has now lost more people to Covid-19 than any other state in the U.S.,A bleak reminder that the recent progress the state has made against the pandemic may be fragile.,By Jill Cowan,The New York Times,2021-02-25T01:33:34+0000,https://www.nytimes.com/2021/02/24/world/california-50000-covid-deaths.html
Share Your Memories of Someone You Lost to Covid-19,"We want to hear from those who have lost a teacher, a brother, a bandmate or any of the other more than 430,000 Americans who have died in the pandemic.",By The New York Times,The New York Times,2021-01-30T00:20:47+0000,https://www.nytimes.com/2021/01/29/us/covid19-deaths-memory-grief.html
White House Covid-19 Team Warns of Virus Variants,Members of President Biden’s coronavirus response team said they are increasing surveillance of potentially dangerous Covid-19 mutations.,By Reuters,Reuters,2021-01-27T19:44:08+0000,https://www.nytimes.com/video/us/politics/100000007573563/white-house-coronavirus-briefing.html
