Title,Abstract,Time Stamp
BioNTech and Pfizer announce regulatory approval from German authority Paul-Ehrlich-Institut to commence first clinical trial of COVID-19 vaccine candidates,"MAINZ, Germany and NEW YORK, April 22, 2020 (GLOBE NEWSWIRE) -- BioNTech SE (Nasdaq: BNTX, “BioNTech” or “the Company”) and Pfizer Inc. (NYSE: PFE), have announced today that the German regulatory authority, the Paul-Ehrlich-Institut, has approved the Phase 1/2 clinical trial for BioNTech’s BNT162 vaccine program to prevent COVID-19 infection. BioNTech and Pfizer are jointly developing BNT162. The trial is the first clinical trial of a COVID-19 vaccine candidate to start in Germany, and is part of a global development program. Pfizer and BioNTech will also conduct trials for BNT162 in the United States upon regulatory approval, which is expected shortly.",2020-04-22
Pfizer Gets German Approval To Start COVID-19 Vaccine Human Trials; Potential Treatment Also In The Works.,"When Pfizer (NYSE:PFE) announced on April 9 that its five-point plan included a promising coronavirus treatment and a potential vaccine candidate in the works, shares soared to their highest point since the beginning of March. Pfizer stock has been on an upward trajectory ever since. The company is hoping to start phase 1 trials for its prospective coronavirus treatment by the fall. Pfizer is working on its vaccine candidate with German drugmaker BioNTech, with the German regulatory authority approving their phase 1/2 clinical trial on April 22.",2020-04-23
Pfizer Rises on Nod to Start First In-Human COVID-19 Vaccine Trial in Germany,U.S. drugmaker Pfizer Inc. (PFE) and BioNTech SE (BNTX) got the green light from German regulators to conduct the first in-human clinical trial in Germany of a potential coronavirus vaccine.,2020-04-22
Pfizer and BioNTech announce joint development of a potential COVID-19 vaccine,"Pharma giant Pfizer announced on Tuesday that it’s working on a potential COVID-19 vaccine with BioNTech, a German company working on new kinds of immunotherapy treatments. The joint effort, confirmed Tuesday via a signed letter of intent, will see both partners work together on a messenger RNA-based vaccine that will seek to prevent people from contracting the new coronavirus.",2020-03-17
"Pfizer clinches coronavirus vaccine deal, sees potential in antiviral treatment",NEW YORK (Reuters) - U.S. drugmaker Pfizer Inc PFE.N said on Thursday that early data has helped it identify a drug candidate with the potential to help treat patients infected with the novel coronavirus.,2020-04-09
BioNTech and Pfizer announce completion of dosing for first cohort of Phase 1/2 trial of COVID-19 vaccine candidates in Germany,"MAINZ, Germany and NEW YORK, April 29, 2020 (GLOBE NEWSWIRE) -- BioNTech SE (Nasdaq: BNTX, “BioNTech” or “the Company”) and Pfizer Inc. (NYSE: PFE) have announced that the first cohort of BioNTech’s Phase 1/2 clinical trial has been dosed. Twelve study participants were dosed with vaccine candidate BNT162 in Germany since dosing began on April 23, 2020. The trial is the first clinical trial of a COVID-19 vaccine candidate in Germany. Pfizer and BioNTech plan to initiate trials for BNT162 in the United States upon regulatory approval, which is expected shortly.",2020-04-29
NIH to launch public-private partnership to speed COVID-19 vaccine and treatment options,"The National Institutes of Health and the Foundation for the NIH (FNIH) are bringing together more than a dozen leading biopharmaceutical companies, the Health and Human Services Office of the Assistant Secretary for Preparedness and Response, the Centers for Disease Control and Prevention, the U.S. Food and Drug Administration and the European Medicines Agency to develop an international strategy for a coordinated research response to the COVID-19 pandemic. The planned Accelerating COVID-19 Therapeutic Interventions and Vaccines (ACTIV) partnership will develop a collaborative framework for prioritizing vaccine and drug candidates, streamlining clinical trials, coordinating regulatory processes and/or leveraging assets among all partners to rapidly respond to the COVID-19 and future pandemics. This is part of the whole-of-government, whole-of-America response the Administration has led to beat COVID-19.",2020-04-17
BioNTech and Pfizer announce approval to start clinical trials of COVID-19 vaccine candidates,"MAINZ, Germany, and NEW YORK, USA, April 22, 2020 (GLOBE NEWSWIRE) – BioNTech SE (Nasdaq: BNTX, “BioNTech” or “the Company”) and Pfizer Inc. (NYSE: PFE), have announced that the German regulatory authority, the Paul-Ehrlich-Institut, has approved the Phase 1/2 clinical trial for BioNTech’s BNT162 vaccine program to prevent COVID-19 infection. BioNTech and Pfizer are jointly developing BNT162. The trial is the first clinical trial of a COVID-19 vaccine candidate to start in Germany, and is part of a global development program. Pfizer and BioNTech will also conduct trials for BNT162 in the United States upon regulatory approval, which is expected shortly.",2020-04-28
Race for Coronavirus Vaccine Accelerates as Pfizer Says U.S. Testing to Begin Next Week,"The race for a vaccine to combat the new coronavirus is moving faster than researchers and drugmakers expected, with Pfizer Inc. PFE 1.00% joining several other groups saying that they had accelerated the timetable for testing and that a vaccine could be ready for emergency use in the fall.",2020-04-28
Pfizer and BioNTech preparing 'millions' of COVID mRNA vaccines,"Pfizer and BioNTech provide further details on their work against COVID-19, including clinical trial plans and scaling of manufacture. ",2020-04-14
Pfizer Announced a Plan to Identify a Possible Coronavirus Treatment,"Following a meeting on Monday at the White House, the pharmaceutical company  Pfizer   announced a program to screen antiviral drugs in its development pipeline to determine whether they could be effective against the new coronavirus.",2020-03-30
Pfizer weighs working with BioNTech on potential coronavirus vaccine: R&D head,"(Reuters) - Pfizer Inc is considering a collaboration with German drugmaker BioNTech SE to develop vaccines for the coronavirus using BioNTech’s mRNA-based drug development platform, Pfizer’s R&D head told Reuters on Thursday.",2020-03-05
FDA approves Pfizer’s Covid vaccine for emergency use as U.S. reaches pivotal moment in the pandemic,"The Food and Drug Administration has approved Pfizer and BioNTech’s coronavirus vaccine for emergency use, a monumental turning point in the once-in-a-century pandemic that has taken nearly 300,000 American lives in less than a year and wreaked havoc on the U.S. economy.",2020-12-11
FDA Takes Key Action in Fight Against COVID-19 By Issuing Emergency Use Authorization for First COVID-19 Vaccine,"Today, the U.S. Food and Drug Administration issued the first emergency use authorization (EUA) for a vaccine for the prevention of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in individuals 16 years of age and older. The emergency use authorization allows the Pfizer-BioNTech COVID-19 Vaccine to be distributed in the U.S.",2020-12-11
Here's what we know about Pfizer's vaccine -- including who could get it first,"The director of the US Centers for Disease Control and Prevention on Sunday accepted the recommendation of the agency's vaccine advisory committee, clearing the way for Pfizer and BioNTech's vaccine to be administered in the US.",2020-12-13
F.D.A. Advisory Panel Gives Green Light to Pfizer Vaccine,"Pfizer’s Covid-19 vaccine passed a critical milestone on Thursday when a panel of experts formally recommended that the Food and Drug Administration authorize the vaccine. The agency is likely to do so within days, giving health care workers and nursing home residents first priority to begin receiving the first shots early next week.",2020-12-10
FDA panel recommends approval of Pfizer’s Covid vaccine for emergency use,"A key Food and Drug Administration advisory panel voted 17 to 4 with one member abstaining on Thursday to recommend the approval of Pfizer and BioNTech’s coronavirus vaccine for emergency use, the last step before the FDA gives the final OK to broadly distribute the first doses throughout the United States.",2020-12-10
Pfizer COVID-19 Vaccine Gets Approval from Key FDA Panel,An independent advisory committee for the Food and Drug Administration voted Thursday to recommendTrusted Source emergency approval of a COVID-19 vaccine developed by Pfizer and BioNTech.,2021-05-06
"U.K.'s Approval Of Pfizer Vaccine Should 'Give People Hope,' Vaccine Expert Says","The United Kingdom gave emergency approval this week to a COVID-19 vaccine and plans to begin rolling it out next week. Though Russia had previously approved a vaccine, the U.K. is the first country where regulators approved a vaccine that is backed by transparent science. The U.S. Food and Drug Administration will consider granting its regulatory approval next week.",2020-12-03
Covid vaccine: Pfizer applies for first approval in US,It will be the job of the US Food and Drug Administration (FDA) to decide if the vaccine is safe to roll out.,2020-11-20
FDA approves use of Pfizer COVID vaccine; shipments begin,"The Food and Drug Administration (FDA) last night announced it has issued an emergency use authorization (EUA) for the Pfizer-BioNTech COVID-19 vaccine, allowing shipments to begin and marking a significant milestone in the country's battle against the virus.",2020-12-12
Pfizer/BioNTech COVID-19 Vaccine Approved in the U.K.,"Vaccine hopes are starting to be fulfilled as the first COVID-19 vaccine gets authorized. U.K. regulators have approved the emergency use of Pfizer and BioNTech's mRNA vaccine after a ""thorough"" review and the government has accepted its recommendation. The country just lifted its second nationwide lockdown yesterday.",2020-12-02
Pfizer COVID-19 vaccine will go into use next week in the UK,"The UK has approved a COVID-19 vaccine and plans to implement the treatment as early as next week. British care home residents, older adults and health care workers will be first to be inoculated with the groundbreaking vaccine developed by Pfizer and BioNTech to tackle the coronavirus pandemic.",2020-12-02
Why the U.K. Approved a Coronavirus Vaccine First,"LONDON — The first rigorously tested coronavirus vaccine was given a green light for use on Wednesday in Britain. Doses of the vaccine, made by the American pharmaceutical giant Pfizer and a small German company, BioNTech, will be injected starting next week, the government said.",2020-12-02
FDA Panel Endorses Covid-19 Vaccine,"A Food and Drug Administration advisory panel recommended approving the Covid-19 vaccine developed by Pfizer Inc. and BioNTech SE, clearing the way for the agency to grant emergency authorization for the shot as early as Friday.",2020-12-11
FDA advisory panel endorses Pfizer/BioNTech Covid-19 vaccine,"A panel of outside experts on Thursday recommended the Food and Drug Administration issue an emergency use authorization to the Covid-19 vaccine being developed by Pfizer and BioNTech, a vaccine that appeared to be highly efficacious in a Phase 3 clinical trial.",20202-12-10
US panel endorses widespread use of Pfizer COVID-19 vaccine,"WASHINGTON (AP) — A U.S. government advisory panel endorsed widespread use of Pfizer’s coronavirus vaccine Thursday, putting the country just one step away from launching an epic vaccination campaign against the outbreak that has killed close to 300,000 Americans.",2020-12-10
Head of FDA Advisory Panel Predicts Approval for Pfizer’s Covid-19 Vaccine,The leader of the advisory panel charged with evaluating the first Covid-19 vaccination to come before the U.S. Food and Drug Administration says the shot is very likely to obtain emergency-use authorization.,2020-12-09
